name,city,state,country,reach,description,status,food-recovery-hierarchy,category,subcategories,solution,founded,website,facebook,twitter,linkedin,email
Divert,Concord,MA,USA,National,"Through innovative tracking technology and custom-designed solutions, we bring accountability to retail recycling operations worldwide. Our flexible tools integrate seamlessly into existing workflows, helping you exceed diversion goals, report on individual store performance and save money. All while making a real, lasting environmental impact.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2007,http://www.divertinc.com/,,,https://www.linkedin.com/company/divert?trk=top_nav_home,contact@divertinc.com
Doggie Beer Bones,San Diego,CA,USA,Local,DoggieBeerBones are all-natural dog treats made using repurposed spent brewing grain sourced from local San Diego craft breweries.,For-Profit,Recycling,Specialty Recycled Products,Consumer Products ,,2009,http://doggiebeerbones.com/home/,http://www.facebook.com/pages/San-Diego-CA/DoggieBeerBones/327198547367,http://twitter.com/doggiebeerbones,,
Donate Don't Dump,San Diego,CA,USA,National,"Donate Don’t Dump is an all volunteer, youth powered, teen run organization determined to change the paradigm of commercial food waste and draw attention to the issue of hunger.",Nonprofit,Recovery,Donation Coordination,Donation Coordinator,,,http://donatedontdump.net/,http://facebook.com/DonateDontDump,http://twitter.com/Don8DontDumpOrg,,
Eat Cleaner,Aliso Viejo,CA,USA,National,"Using a patented blend of plant-based ingredients, EAT CLEANER® is the only line of all natural, biodegradable food wash + wipes that is lab proven to remove over 99% more pesticides, wax and residue than water. Additionally, Eat Cleaner helps extend the shelf life of fresh produce up to 200% longer, saving you money.",For-Profit,Prevention,Shelf-Life Extension,Coating/Barrier,,2010,https://eatcleaner.com/,https://www.facebook.com/EatCleaner/,https://twitter.com/eatcleanerfood,https://www.linkedin.com/company/eat-cleaner-and-grow-green-industries,info@eatcleaner.com
Earth Probiotic,Johannesburg,,South Africa,Local,"Earth Probiotic uses the power of probiotic bacteria - bokashi - to assist companies, households and communities recycle their food waste back into soil food through composting.",For-Profit,Recycling,Composting,Home Composting; Community Composting,Home Composting; Community Composting,2010,http://www.earthprobiotic.co.za/products/,https://www.facebook.com/earthprobiotic,https://twitter.com/earthprobiotic,,karen.heron@earthprobiotic.com
East End Brewing,Pittsburgh,PA,USA,Local,A Pittsburgh-based craft brewery that has partnered with 412 Food Rescue to brew a beer utilizing surplus bread. ,For-Profit,Prevention,Food Product Creation,Food Scraps,Value-Added Processing,2004,http://www.eastendbrewing.com/#freshlocalbeer,https://www.facebook.com/EastEndBrewing/,https://twitter.com/EastEndBrewing,,
EatBy App,Rosyth,,United Kingdom,National,The Eat By App is your food organiser which helps reduce the amount of food you throw away by reminding you to eat it before it's expiry date. It helps the environment and helps you to save you money.,For-Profit,Prevention,Consumer Education,Tools/Applications; Improved Inventory Management [Consumer Level],,2015,http://www.eatbyapp.com/index.html,,https://twitter.com/EatByApp?lang=en,,
Ecoalf,Madrid,,Spain,National,"ECOALF was created by Javier Goyeneche in 2012 to realise innovation in recycled clothing. But ECOALF is more than a conscious clothing brand; it is a mission to create the first generation of recycled products with the same attention to quality, design and technical properties as the best non-recycled products in the market. Current initiatives operate to manufacture discarded fishing nets, PET plastic bottles, used tyres, coffee, post industrial cottons and wool into high quality yarns and components for clothing, accessories and footwear.",For-Profit,Recycling,Specialty Recycled Products,Consumer Products,,2012,http://ecoalf.com/us_en/,https://www.facebook.com/ECOALF,https://twitter.com/ecoalf,,
EcoGuardians,Melbourne,,Australia,National,"GaiaRecycle is unique as an on-site, odour-free process that produces two sterile reusable resources – water and biomass. GaiaRecycle equipment covers the range from 30 kgs to 100 tonnes per day. Options are available above 100 kgs per day for gas, steam and electrical operation.",For-Profit,Recycling,On-Site Processing Solutions,Commercial Greywater,Commercial Greywater,2011,http://www.ecoguardians.com.au/products/gaia-recycle,https://www.facebook.com/pages/Eco-Guardians-Pty-Ltd/465463910130788,https://twitter.com/EcoGuardiansAU,https://www.linkedin.com/company/eco-guardians-pty-ltd,info@ecoguardians.com.au
Ecoplaso,Puebla,,Mexico,National,"Ecoplaso is intended as a biodegradable alternative to the disposable plastic products with little or null degradability of daily consumption such as cups, plates, chopsticks and straws; by harnessing and reusing organic waste like fruits and bagasse from the food industry. Currently, Ecoplaso is producing sheets, disposable products and 3D printing filaments.",For-Profit,Recycling,Specialty Recycled Products,Consumer Products,,,http://ecoplaso.com/,,https://twitter.com/ecoplasomx?lang=en,,ecoplasomx@gmail.com
Ecoscraps,South Jordan,UT,USA,National,"We recycle by collecting wasted food from stores and restaurants to convert into all natural garden products. Our natural and organic products provide your plants with the vitamins and nutrients that they need to fight disease, drought, extreme temperatures, and grow strong. At EcoScraps®, our mission is simple: grow gardens, not landfills.",For-Profit,Recycling,Composting,Centralized Composting,Centralized Composting,2012,http://ecoscraps.com/,https://www.facebook.com/Ecoscraps,https://twitter.com/EcoScraps?lang=en,,contact@ecoscraps.net
Enterra Feed,Vancouver,British Columbia,Canada,National,"Enterra’s natural process provides a sustainable solution to the problems of food waste and nutrient shortage by using insects to upcycle complex nutrients in waste food into sustainable protein, oil and natural fertilizer. ",For-Profit,Recycling,Animal Feed,Black Soldier Fly Larvae,Animal Feed,2007,www.enterrafeed.com/,https://www.facebook.com/pages/Enterra-Feed-Corporation/1604133119854782,http://www.twitter.com/enterrafeed,https://www.linkedin.com/company/enterra-feed-corporation,info@enterrafeed.com
Entomics,Cambridge,,United Kingdom,National,"Black Soldier Fly larvae convert food waste into fats and proteins inside their bodies. Our innovative engineering system optimizes both the productivity of these larvae, and the synthesis of three high-value products downstream: biodiesel, protein meal, and biopesticide-fertilizer.",For-Profit,Recycling,Animal Feed,Black Soldier Fly Larvae,Animal Feed,2015,http://www.entomics.com/,https://www.facebook.com/entomics/?fref=ts,https://twitter.com/entomics,https://www.linkedin.com/company/entomics,contact@entomics.com
Entomo Agroindustrial,,,Spain,Local,"We are a platform of independent professionals who manage and coordinate industrial insect production projects. We develop a commercial-operational feasibility study, validate the available waste through the valuation of the transformation performance in insects and finally we elaborate a detailed business plan.",For-Profit,Recycling,Animal Feed,Black Soldier Fly Larvae,Animal Feed,2016,http://en.entomo.org/,,https://twitter.com/entomoai,https://www.linkedin.com/company/entomo-solutions,diego.amores@entomo.org
Equal Heart,Dallas,TX,USA,Local,"We deliver federally funded meals free of charge to children at after-school and summer sites throughout the country. We are the largest nonprofit summer food sponsor in the state of Texas. In Dallas, we also provide nutritious food to families year round with our Mobile Food Access Network.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,2015,http://www.equalheart.org/services.html,https://www.facebook.com/equalheart.org,,,courage@equalheart.org
Enviropure,Travelers Rest,SC,USA,National,EnviroPure EPW systems provide water based submersed environment decomposition that turns food waste into water that can be safely disposed of into municipal waste water systems.,For-Profit,Recycling,On-Site Processing Solutions,Commercial Greywater,Commercial Greywater,2010,http://www.enviropuresystems.com/index.php,,https://twitter.com/EnviroPureWaste,https://www.linkedin.com/company/enviropure-systems-inc-,info@enviropuresystems.com
Evaptainer,Boston,MA,USA,National,"Evaptainers solves a huge problem in the food production infrastructure of developing markets by intersecting modern design, materials, and production with time tested evaporative cooling technology creating a effective, scalable, electricity free, mobile refrigeration solution.",For-Profit,Prevention,Supply Chain and Operational Efficiency; Shelf-Life Extension,Cold Chain Management,Cold Chain Management,2014,http://www.evaptainers.com/,https://www.facebook.com/evaptainers/?ref=page_internal,https://twitter.com/Evaptainers,,
Evolution Fresh,Seattle,WA,USA,National,"Evolution Fresh is a cold press juice company that practices a number of impact-driven activities, including harvesting the second crop of spinach to save resources, help farmers and still get the same deliciousness into our juice.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,1992,http://www.evolutionfresh.com/blog/article/sustainable-cut-giving-spinach-second-chance/,http://facebook.com/evolutionfresh,http://twitter.com/evolutionfresh,https://www.linkedin.com/company/evolution-fresh?trk=top_nav_home,info@evolutionfresh.com
Exeter Agri-Energy,Exeter,ME,USA,Local,"We are a renewable energy company that converts animal and food waste into heat and electricity, as well as other environmentally responsible products. Our business model uses collaborative techniques to meet the challenges of organic waste disposal, energy production, and enhanced nutrient management practice.",For-Profit,Recycling,Renewable Energy from Organics (Anaerobic Digestion),Centralized Anaerobic Digestion,Centralized Anaerobic Digestion,2011,http://www.exeteragrienergy.com/,http://www.facebook.com/pages/Exeter-Agri-Energy/235895036517284,https://twitter.com/EAEMaine?lang=en,,info@exeteragrienergy.com
ExtraFood.org,San Rafael,CA,USA,Local,"We pick up excess fresh food from businesses & organizations and immediately deliver it to nonprofits serving Marin’s most vulnerable children, adults, and families.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2013,http://extrafood.org/,http://www.facebook.com/extrafood.org,http://twitter.com/ExtraFoodDotOrg,https://www.linkedin.com/company/extrafood-org?trk=top_nav_home,contact@extrafood.org
Fabanaise - Sir Kensington's,New York,NY,USA,National,"Fabanaise is the first and only vegan mayo made with aquafaba, a waste product created during the hummus manufacturing process.",For-Profit,Prevention,Food Product Creation,Byproducts,Value-Added Processing,2010,https://sirkensingtons.com/fabanaise,https://www.facebook.com/sirkensingtons/,https://twitter.com/sirkensingtons?lang=en,https://www.linkedin.com/company/kensington-&-sons-llc?trk=top_nav_home,sirk@sirkensingtons.com
Fair Foods,Boston,MA,USA,Local,"When we say we rescue food, it means that we receive perfectly good surplus produce from industrial suppliers who can no longer use it. On an average day, we receive and ship over 10,000 pounds of fresh food.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,1988,http://www.fairfoods.org/index.php?page=food_rescue.htm,http://www.facebook.com/pages/Fair-Foods/36943401926,https://twitter.com/#!/fairfoodsboston,,info@fairfoods.org
Falling Fruit,Boulder,CO,USA,National,"Falling Fruit is a massive, collaborative map of the urban harvest. By uniting the efforts of foragers, freegans, and foresters everywhere, the map already points to over a half million food sources around the world (from plants and fungi to water wells and dumpsters). Our rapidly growing user community is actively exploring, editing, and adding to the map.",Nonprofit,Recovery,Donation Coordination,Consumer Food Recovery,,,https://fallingfruit.org/,https://www.facebook.com/FallingFruit,https://twitter.com/Falling_Fruit,,
Family Hub - Samsung,Suwon,,South Korea,National,"The Family Hub is a revolutionary new refrigerator with a Wifi enabled touchscreen that lets you manage your groceries, connect with your family and entertain like never before.",For-Profit,Prevention,Consumer Education,Smart Refrigerator,,,http://www.samsung.com/us/explore/family-hub-refrigerator/,https://www.facebook.com/SamsungUSA,https://twitter.com/samsungtweets,https://www.linkedin.com/company/samsung-electronics?trk=top_nav_home,
FareShare,London,,United Kingdom,National,We save good food destined for waste and send it to charities and community groups who transform it into nutritious meals for vulnerable people.,Nonprofit ,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2004,http://www.fareshare.org.uk/,https://www.facebook.com/pages/FareShare/116625838402686,https://twitter.com/FareShareUK,https://www.linkedin.com/company/fareshare_2?trk=top_nav_home,enquiries@fareshare.org.uk
Farmworkers Mobile Produce Pantry - Food Bank for Monterey County,Monterey County,CA,USA,Local,"For over 25 years, the Food Bank has been at the frontlines of fighting hunger and addressing nutritional needs in our community and we are committed to our mission “to lead community efforts in the awareness and elimination of hunger in Monterey County.” The Farmworkers Mobile Produce Pantry delivers fresh produce and perishables to farmworkers directly on the fields as they’re ending their shifts for the day. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,1990,http://www.foodbankformontereycounty.org/,https://www.facebook.com/TheFoodBankforMontereyCounty/,,,cmontero@food4hungry.org
Feed More,Richmond,VA,USA,Local,"FeedMore is Central Virginia’s core hunger-relief organization comprised of programs like the Central Virginia Food Bank, Meals on Wheels, the Mobile Pantry and Kids Cafe. Spanning nearly one-third of the state, across 34 counties and cities, FeedMore serves more than 200,000 individuals in the region’s most vulnerable populations – children, families and seniors.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,2008,https://feedmore.org/,https://facebook.com/FeedMore,https://twitter.com/FeedMoreInc,https://www.linkedin.com/company/feedmore?trk=top_nav_home,info@feedmore.org
Feeding America,Chicago,IL,USA,National,"Feeding America is the nation’s largest domestic hunger-relief organization—a powerful and efficient network of 200 food banks across the country. Recently, Feeding America has developed MealConnect, a technology platform that maximizes network capacity, prevents meals from ending up in landfills and empowers food donors to notify their local food bank when they have food available.",Nonprofit,Recovery,Donation Coordination; Donation Transportation; Donated Food Processing,Donation Coordinator; Donation Matching Software; Donation Transportation; Donating Storage & Handling; Value-Added Processing,Donation Matching Software; Donation Transportation; Donating Storage & Handling; Value-Added Processing,1979,http://www.feedingamerica.org/,https://www.facebook.com/FeedingAmerica,https://twitter.com/feedingamerica,https://www.linkedin.com/company/feeding-america?trk=top_nav_home,
Feeding India,New Delhi,,India,National,"Feeding India has a network of 2,200 volunteers across 32 cities in India. The companies and event planners with whom Feeding India collaborate inform volunteers through a mobile app about where they are located. The volunteers collect the surplus food and distribute it where it’s needed most.",Nonprofit,Recovery,Donation Coordination; Donation Transportation,Donation Coordinator; Donation Matching Software; Donation Transportation,Donation Matching Software; Donation Transportation,2014,http://www.feedingindia.org/,http://www.facebook.com/feedingindia1,http://www.twitter.com/feedingindia,https://www.linkedin.com/company/feeding-india?trk=top_nav_home,contact@feedingindia.org
Flashfood,Toronto,Ontario,Canada,Local,"The Flashfood app allows grocery stores and restaurants to sell high-quality, surplus food at steep discounts to savvy shoppers. hoppers see deals in their area and purchase items directly through Flashfood - saving money for shoppers, increasing revenue for vendors and lessening our collective environmental impact. ",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2012,http://www.flashfood.co/,http://www.facebook.com/flashfoodinc,https://twitter.com/Flashfoodinc,https://www.linkedin.com/company/flashfood-inc.?trk=top_nav_home,contact@flashfood.com
Food Cloud,Dublin,,Ireland; United Kingdom,National,"We’re redistributing surplus food from over 1,000 food industry partners to over 3,000 charities in the UK and Ireland.",Nonprofit,Recovery,Donation Coordination; Donation Transportation; Donated Food Processing,Donation Coordinator; Donation Matching Software; Donation Transportation; Donating Storage & Handling,Donation Matching Software; Donation Transportation; Donating Storage & Handling,2012,http://foodcloud.net/,https://www.facebook.com/foodcloudireland,https://twitter.com/foodcloud,https://www.linkedin.com/company/foodcloud,
Food Connect,Philadelphia,PA,USA,Local,We connect people with food. We take surplus food from your event or restaurant and deliver it to local community based organizations.,Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2016,http://www.foodconnectgroup.com/,https://www.facebook.com/FoodConnectPhl/,https://twitter.com/foodconnectphl,,foodconnectphilly@gmail.com
Food Connection,Asheville,NC,USA,Local,"Food Connection collects surplus food from restaurants and caterers in Asheville and delivers the food to those who will enjoy it in order to reduce food waste and ease the pain of immediate hunger. The food donations are coordinated through Dig Local in connection with Grace Covenant Presbyterian Church, Asheville Taxi, and local non-profits.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2014,http://www.foodconnection.co/,https://www.facebook.com/foodconnection.co/,,,foodconnectionasheville@gmail.com
Food Cowboy,Bethesda,MD,USA,National,"Food Cowboy uses mobile technology to help food companies (throughout the supply chain) reduce their carbon footprints by routing wholesome unsaleable food to charities (anywhere in the country) and spoiled food to composters, anaerobic digesters, and other sustainable disposers, instead of to landfills. Its cloud-based systems facilitate scheduling, expedite tax paperwork, and offer food safety guidance so food can be routed appropriately without unacceptable risks or efficiency losses.",For-Profit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,2011,http://foodcowboy.com/,http://www.facebook.com/foodcowboy,http://www.twitter.com/foodcowboy,https://www.linkedin.com/company/food-cowboy?trk=biz-companies-cym,info@foodcowboy.com
Food Donation Connection,Knoxville,TN,USA,National,Food Donation Connection provides an alternative to discarding surplus wholesome food by linking food service donors with surplus food to local hunger relief agencies. We do this by creating and maintaining an efficient communication and reporting network that links available sources of food to those in need through these existing charitable organizations.,For-Profit,Recovery,Donation Coordination,Donation Coordinator,,1992,http://www.foodtodonate.com/,http://www.facebook.com/FoodDonationConnection,http://twitter.com/#!/FoodToDonate,https://www.linkedin.com/company/food-donation-connection?trk=top_nav_home,ContactUs@foodtodonate.com
Food Finders,Lakewood,CA,USA,Local,"Food Finders is a multiregional food bank and food rescue program headquartered in Lakewood, CA. We pick up donated food from hundreds of local grocery stores, bakeries, restaurants and produce markets and distribute it directly to missions, shelters and social service agencies to feed the needy and impoverished. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,1989,http://www.foodfinders.org/,https://www.facebook.com/foodfinders,,,
Food for All,Cambridge,MA,USA,Local,"Food For All helps to reduce food waste by allowing you to buy great food that restaurants did not sell by the end of the day, up to 80% cheaper than its original price.",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2016,http://www.foodforall.us/,http://www.facebook.com/foodforall.us,https://twitter.com/FoodForAll_us,,hello@foodforall.us
Food for Free,Cambridge,MA,USA,Local,"Bridging the gap between waste and want since 1981. Food For Free rescues fresh food (food that might otherwise go to waste) and distributes it within the local emergency food system where it can reach those in need. Launched in the spring of 2016, our Family Meals program re-purposes prepared foods into single-serving meals for people with limited access to kitchens. Family Meals uses surplus foods from university dining halls and other sources, rescued via our Prepared Foods Rescue program.",Nonprofit,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,1981,http://www.foodforfree.org/,http://www.facebook.com/pages/Food-For-Free/147077179535,http://www.twitter.com/foodforfreeorg,https://www.linkedin.com/company/food-for-free?trk=top_nav_home,fiona@foodforfree.org
Food Forward,N. Hollywood,CA,USA,Local,"Food Forward rescues fresh local produce that would otherwise go to waste, connecting this abundance with people in need, and inspiring others to do the same. We collect fresh fruits and vegetables that would normally go to waste from backyard fruit trees, public orchards, farmers markets, and the downtown Los Angeles Wholesale Produce Market. ",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,2009,https://foodforward.org/,https://www.facebook.com/pages/Food-Forward/144959842226659,https://twitter.com/foodforwardla,https://www.linkedin.com/company/food-forward?trk=top_nav_home,INFO@FOODFORWARD.ORG
Food Huggers,Dover,DE,USA,National,Our mission is to design and create tools that make it easy to get the most enjoyment and nutrition possible from the groceries our customers buy and reduce the amount of food that gets wasted in the home.,For-Profit,Prevention,Shelf-Life Extension,Spoilage Prevention Packaging,Spoilage Prevention Packaging,2013,http://foodhuggers.com/,https://www.facebook.com/FoodHuggers,https://twitter.com/FoodHuggers,,hugs@foodhuggers.com
Food Loop,San Francisco,CA,USA; Germany,Local,"FoodLoop’s Retailer Platform ties grocer inventory system to consumer-facing mobile apps to provide real-time deals and personalized offers based on consumers’ interests, purchase history, and location.",For-Profit,Prevention,Secondary Marketplace; Supply Chain and Operational Efficiency,Business to Buyer; Improved Inventory Management ,Secondary Resellers; Improved Inventory Management,2012,https://www.foodloop.net/,,,,info@foodloop.net
Food Recovery Network,College Park,MD,USA,National,Food Recovery Network is the largest student movement against food waste and hunger in America. Food Recovery Network unites students at colleges and universities to fight these issues by recovering surplus perishable food from their campuses and surrounding communities that would otherwise go to waste and donating it to people in need.,Nonprofit,Recovery,Donation Coordination; Donation Transportation; Donated Food Processing,Donation Coordinator; Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,2012,http://www.foodrecoverynetwork.org/,https://www.facebook.com/FoodRecoveryNetwork/?ref=page_internal,https://twitter.com/FoodRecovery,https://www.linkedin.com/company/food-recovery-network?trk=top_nav_home,info@foodrecoverynetwork.org
Food Rescue - Sainsbury's,London,,United Kingdom,National,"Hang on a minute. Before you throw your leftovers away, just pop your ingredients into the search below. We’ll rustle up meal ideas for you to make with the food that could’ve gone to waste. So, let’s get started...",For-Profit,Prevention,Consumer Education,Tools/Applications; Improved Inventory Management [Consumer Level],,,https://wastelesssavemore.sainsburys.co.uk/food-rescue,,,,
Food Rescue - K-12 Food Rescue,Carmel,IN,USA,National,"Food Rescue has connected over 600 schools and restaurants with food pantries since 2007, resulting in over a million meals annually being fed to children and families in need rather than landfills.  There are currently over 400 school cafeterias across America in 9 states participating in K-12 Food Rescue, where students are given the choice to feed people not landfills with their unopened and unpeeled food that they choose not to eat. ",Nonprofit,Recovery,Donation Coordination,Donation Coordinator,,2007,http://www.foodrescue.net/,,,,jw@foodrescue.net
Food Rescue US,Norwalk,CT,USA,National,"Food Rescue US is committed to ending American food insecurity by directly transferring fresh, usable food that would have otherwise been thrown away from restaurants, grocers and other food industry sources to food insecure families throughout the U.S. The unique use of our award-winning proprietary mobile technology increases access to fresh produce and perishables that are not available through the traditional warehouse models of food delivery that have long dominated the hunger and food-insecurity sectors. ",Nonprofit,Recovery,Donation Coordination; Donation Transportation,Donation Coordinator; Donation Matching Software; Donation Transportation,Donation Matching Software; Donation Transportation,2011,http://foodrescue.us/,https://www.facebook.com/FoodRescueUS/,https://twitter.com/foodrescueus,https://www.linkedin.com/company/2185386,info@foodrescue.us
Food Runners,San Francisco,CA,USA,Local,"Food Runners picks up excess perishable and prepared food from businesses such as restaurants, caterers, bakeries, hospitals, event planners, corporate cafeterias, and hotels and delivers it directly to neighborhood food programs.",Nonprofit,Recovery,Donation Transportation,Donation Transportation,Donation Transportation,1987,http://www.foodrunners.org/,https://www.facebook.com/pages/Food-Runners-SF/1418722245060307,https://twitter.com/FoodRunnersSF,,nancy@foodrunners.org
Food Shift,Oakland,CA,USA,Local,"Food Shift works with communities, businesses and government to shift behaviors toward a more sustainable use of food. Our programs increase awareness and action around food waste reduction; decrease the amount of edible food rotting in the landfill; and create jobs in the food recovery sector. Food Shift is more than a food recovery organization. We are shifting the problem of wasted food into a solution by developing sustainable solutions that address systemic issues behind food waste and hunger.",Nonprofit,Recovery,Donation Coordination; Donation Transportation; Donated Food Processing,Donation Coordinator; Donation Storage & Handling; Community Kitchen; Value-Added Processing,Donation Transportation; Donation Storage & Handling; Value-Added Processing,2012,http://foodshift.net/,https://www.facebook.com/foodshift,https://www.twitter.com/foodshift,https://www.linkedin.com/company/food-shift?trk=top_nav_home,info@foodshift.net
Foodbank,,,Australia,National,"Foodbank is the largest hunger relief organisation in Australia, a non-denominational, non-profit organisation which acts as a pantry to the charities and community groups who feed the hungry. It was first established in 1992 in NSW and now has a presence in every state and the Northern Territory with distribution centres in all state capitals as well as a number of regional centres. Recently began ""Meals for Mates"" program to feed rural Australians.",Nonprofit ,Recovery,Donation Transportation; Donated Food Processing,Donation Transportation; Donation Storage & Handling,Donation Transportation; Donation Storage & Handling,1992,http://www.foodbank.org.au/,https://www.facebook.com/FoodbankAus/,https://twitter.com/FoodbankAus,https://www.linkedin.com/company/foodbank-australia,admin@foodbank.org.au
FoodBridge,Severna Park,MD,USA,Local,"Through its online platform, FoodBridge sends immediate notifications about surplus food donations—food that would otherwise be waste—to registered organizations capable of putting it to good use. Project of U Empower of Maryland. ",Nonprofit,Recovery,Donation Coordination,Donation Coordinator; Donation Matching Software,Donation Matching Software,,http://www.myfoodbridge.org/,https://www.facebook.com/myFoodBridge,https://twitter.com/myfoodbridge,,contact@myfoodbridge.org
FoodCycle,London,,United Kingdom,National,"We’re FoodCycle – a national charity that combines volunteers, surplus food and spare kitchen spaces to create tasty, nutritious meals for people at risk of food poverty and social isolation. We run over 29 projects across the UK, united by the simple idea that food waste and food poverty should not coexist.",Nonprofit ,Recovery,Donated Food Processing,Donation Storage & Handling; Community Kitchen; Value-Added Processing,Donation Storage & Handling; Value-Added Processing,2008,http://foodcycle.org.uk/,https://www.facebook.com/foodcycle,https://twitter.com/foodcycle,https://www.linkedin.com/company/foodcycle?trk=top_nav_home,enquiries@foodcycle.org.uk
Foodfully,Davis,CA,USA,Local,"The Fridge shows your purchased items and which items are approaching spoilage so you never forget about your food. The Stove gives you recipes that prioritize the food that will spoil soonest. Set food preferences and search to find the best recipes for you! Connect your loyalty cards and/or accounts from numerous grocery stores. Get push notifications for soon-to-spoil food, so you don't come home to a fuzzy surprise.",For-Profit,Prevention,Consumer Education,Tools/Applications; Improved Inventory Management [Consumer Level],,2014,http://foodful.ly/,https://www.facebook.com/foodful.ly/,https://twitter.com/FoodFully,,
Foodhall,Sheffield,,United Kingdom,Local,A kitchen and café in the city centre where people are invited to Cook or dine communally in a pay as you feel basis. The menu changes day to day and the meals are accessible to all as the fridge is always stocked with food that may have otherwise been thrown away.,Nonprofit,Prevention,Consumer Education; Secondary Marketplace; Donated Food Processing,Campaigns; Brick and Mortar; Value-Added Processing,Secondary Resellers; Value-Added Processing,2014,http://foodhallproject.com/,,https://twitter.com/foodhallproject?lang=en,,
FoodKeeper App,,,USA,National,"The FoodKeeper helps you understand food and beverages storage. It will help you maximize the freshness and quality of items. By doing so you will be able to keep items fresh longer than if they were not stored properly. It was developed by the USDA's Food Safety and Inspection Service, with Cornell University and the Food Marketing Institute.",Nonprofit,Prevention,Consumer Education,Tools/Applications; Improved Inventory Management [Consumer Level],,2015,http://www.foodsafety.gov/keep/foodkeeperapp/index.html,http://www.facebook.com/FoodSafety.gov,http://twitter.com/foodsafetygov,,
Foodperk,Los Angeles,CA,USA,Local,"Restaurants use Foodperk to post exclusive deals. Catch last-minute, limited quantity offers available in select areas. No registration is required. Just your email address. Every deal expires within 24 hours or less. Present your email confirmation to the cashier and enjoy your special Foodperk discount! For business owners — drum up business during slow hours, create a special happy hour, sell any fresh, last-minute items that can't be sold tomorrow! ",For-Profit,Prevention,Secondary Marketplace,Business to Buyer,Secondary Resellers,2015,http://www.foodperkapp.com/,,,,
FoodPlus,Dublin,,Ireland,National,"We have built a smart B2B marketplace that accelerates the sale of surplus food by connecting food suppliers (e.g. manufacturers, distributors) who are left with a surplus stock, with potential buyers from hospitality industry (e.g. hotels, restaurants).",For-Profit,Prevention,Secondary Marketplace,Business to Business,Secondary Resellers,2015,http://foodplus.market/landing/,https://www.facebook.com/foodplus.market,,https://www.linkedin.com/company/food-plus-ltd.,
FoPo,Bremen,,Germany,National,"In FoPo, we collect fruits and vegetables that would otherwise be wasted (because they are ugly or too ripe) and turn them into dried powder, prolonging shelf-life from 2 weeks to about 2 years. That way, we maximize logistics by transporting compact-friendly powders while also preserving nutrients by up to 90%.",For-Profit,Prevention,Food Product Creation,Surplus Produce,Value-Added Processing,,http://www.hellofopo.com/,https://www.facebook.com/fopofoodpowder/?ref=page_internal,,,contact@hellofopo.com
FoodSaver,Oklahoma City,OK,USA,National,"A FoodSaver® Food Preservation System is the best way to keep food fresh up to 5X longer** which, in turn, saves you up to $2700 a year* and reduces food waste. It's a system that includes vacuum seal bags, vacuum zipper bags and containers designed to work together with vacuum sealers for optimal performance. The system removes air from bags and creates an air-tight seal to lock in freshness and protect food from spoiling.",For-Profit,Prevention,Shelf-Life Extension,Vacuum-Sealer,,,http://www.foodsaver.com/,,https://twitter.com/foodsaver?lang=en,https://www.linkedin.com/company/food-saver,
FOR Solutions,Newton,NJ,USA,National,"The patented aerobic in-vessel rotary drum digestion system is where the accelerated food scraps composting process occurs. This five-day, patented system is energy efficient, will not attract pests, and is virtually odorless. The result is high-quality, nutrient-dense organic compost that is immediately ready to use.",For-Profit,Recycling,On-Site Processing Solutions,In-Vessel Composting,In-Vessel Composting,,http://forsolutionsllc.com/,,,,
