name,city,state,country,innovator_level,description,business_model,food_recovery_hierarchy_options,innovator_category_options,innovator_subcategory_options,solutions,founded,website,facebook_url,twitter_url,linkedIn_url,email,lat,lng
"Feeding America Tampa Bay, Inc. ",Tampa,FL,USA,local,"Feeding Tampa Bay's mission: we change lives one meal at a time by leading our community in the fight against hunger. A member of the Feeding America network of food banks, Feeding Tampa Bay (FTB) serves ten counties in west central Florida. With over 500 agency partners who receive food from FTB and in turn distribute food to low income clients, we are the driving force behind food relief in the region. Our vision is a hunger-free Tampa Bay and we are guided by following principles:  •        We are mission passionate for feeding those in need  •        We fight hunger, not just with food, but with knowledge of the issue  •        We serve our clients compassionately and free of prejudice  •        We act with integrity as we steward the resources entrusted to us  •        We value collaborative partnerships – both internally and externally – which are the lifeblood of our success  •        We are driven by the moral responsibility to uplift our community    FTB distributes food in a variety of ways. Agencies may shop at Feeding Tampa Bay's warehouse or receive deliveries of donated food. Some agencies have the capacity to pick up donations directly from grocery store partners. Our Mobile Pantries are on site direct distributions, strategically targeted in neighborhoods of high need with few food relief resources. My Mobile Market is a direct distribution social enterprise that provides food at a low cost to clients who wish to purchase food but have limited income.     Other FTB programs target specific populations. Feeding Tampa Bay provides food for children specifically via Feeding Minds, which creates pantries in schools of high need. Children are also served by our After School Meals Program, and weekend Backpacks Program, which provides healthy meals for the weekend for children who receive free or reduced lunch at school. For seniors, FTB directly distributes to low-income senior housing facilities through our Senior Grocery Delivery Program.    Feeding Tampa Bay now serves hot meals after a merger with Trinity Cafe. Trinity Cafe is a charitable restaurant that provides hot, three-course chef-prepared meals from two Hillsborough County locations 365 days a year to anyone in need.     Our newest program- FRESHforce provides on the job training to adults with barriers to employment. Each participant receives a stipend while enrolled and graduates the 12-week program with industry certification in one of three tracks- driving, warehouse logistics, or culinary arts- with customer service and life skills training accompanying each track.   ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",1982,www.FeedingTampaBay.org,,,,pdoyle@feedingtampabay.org,,
Feeding Kentucky (formerly the Kentucky Association of Food Banks),Frankfort,KY,USA,local,"Our mission is to end hunger, in collaboration with Kentucky’s Feeding America Food Banks and partners, through advocacy and resource development.",Non-Profit,Recovery,,,donation-storage-and-handling,2001,https://feedingky.org/,,,,sarah@feedingky.org,,
Feeding Opportunities On Demand,Oakland,CA,USA,local,"We are a non-profit community program that is committed to helping the unhoused/unsheltered and anyone experiencing food insecurity in the East Bay. We provide hot, nutritious meals to those in need and pride ourselves in meeting people where they are regardless of race/ethnicity, religion, gender identity, sexual orientation or ability.  ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",2020,www.feedingopps.org,,,,feedingpeoplef.o.o.d@gmail.com,,
Feeding San Diego,San Diego,CA,USA,local,Feeding San Diego’s mission is to connect every person facing hunger with nutritious meals by maximizing food rescue. Our vision is a hunger-free and healthy San Diego.,Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",2007,www.feedingsandiego.org,,,,acolbran@feedingsandiego.org,,
DBA O'side Kitchen Collaborative,Oceanside,CA,USA,local,"O’side Kitchen Collaborative is culinary philanthropy in action. This grassroots self-funded, non-profit is working to cultivate a sustainable community by engaging local farms, schools, businesses, government agencies, and other community organizations. OKC supports zero waste efforts by diverting and rescuing edible food, then feeding and educating the local community.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",2010,theokc.org,,,,heather@theokc.org,,
Flower City Pickers Inc.,Rochester,NY,USA,local,"Founded in January of 2015, Flower City Pickers (FCP) is a nonprofit that redistributes surplus and unsold produce recovered from the City of Rochester Public Market to local homeless shelters, halfway houses, soup kitchens, food pantries, and other organizations with need for food.

Since our start, we have recovered and redistributed over 1 million pounds of food, keeping it in the hands and bellies of our neighbors instead of the landfill.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",,https://flowercitypickers.org/,,,,amyb3517@gmail.com,,
Food Bank for Monterey County,Salinas,CA,USA,local,"The Food Bank for Monterey County began way back in 1983 as a program for the Alliance on Aging before becoming its own nonprofit in 1990. If only hunger were a thing of the past – but it’s not, and thankfully we have the food bank doing crucial work to mitigate it. The organization has expanded over the years so that now it serves 10 million pounds of food a year – to 20 percent of this county’s residents.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",,,,,,mkendrick@food4hungry.org,,
Food Fleet,Los Angeles,CA,USA,National,Food Fleet was founded on the principle of helping small mom and pops make a living wage in the mobile food service world.,For Profit,Recovery,,,donation-transportation,2015,www.foodfleet.com,,,,jeff@foodfleet.com,,
Food Recycling Solutions,,,Canada,National,"Food Recycling Solutions Group Ltd. incorporated exclusively to offer an efficient, hygenic and cost effective solution for food waste generators to easily recycle their food waste. With over 40 years experience in the waste and recycling collection and processing business, owners Bryan Carrigan and Dave Raney understand the current limitations of food recycling programs and developed the “Wolf” food recycling program to help customers easily recycle their food waste.",For Profit,Recycling,,,"centralized composting, centralized anaerobic digestion",,http://www.foodrecycling.ca/,,,,richard@foodrecyclingsolutionsllc.com,,
Food Runners,San Francisco,CA,USA,local,"The mission of Food Runners is to help alleviate hunger in San Francisco, to help prevent waste and to help create community. ",Non-Profit,Recovery,,,donation-transportation,1987,www.foodrunners.org,,,,linda@foodrunners.org,,
Fooding Forward,Philadelphia,PA,USA,local,"We connect businesses that have food, to people who need food. We work with food partners in the hotel and restaurant space. First, we determine our partner’s food waste/excess. Next, we design a custom pickup schedule with our food rescue partners to meet the operation needs of our donors.  Finally, we manage daily pickup routes that include multiple locations to transport all donated food to our recipient partners.",Non-Profit,Recovery,,,Coordination & Matching,,https://www.foodingforward.com/,,,,abbe@foodingforward.com,,
FoodLocus,,,,,"FoodLocus is excited to announce the development of our transactional platform, DeZi. The founders of FoodLocus, LLC are passionate about helping local producers find stable markets for their products so that local foods can stay local. The DeZi platform makes it easy and convenient for producers and intermediaries such as food hubs and farmer’s markets to connect with retail, food service, and institutional buyers in their area. We offer many value-added services for our clients, so you can focus your time on building relationships.",For Profit,Prevention,,,,,http://dezi.tech/,,,,foodlocus@gmail.com,,
"Forager1, Inc.",Portland,ME,USA,local,Forager is a mission-based company founded to increase the amount of local food available to all consumers. We are partnering with gleaners to develop a national gleaning program to help local farmers and address food insecurity with a forward-thinking technology-driven approach to reducing food waste.,For Profit,Prevention,,,Coordination & Matching,2015,www.goforager.com,,,,joe@goforager.com,,
Fresh Approach,Concord,CA,USA,local,"Fresh Approach, a San Francisco Bay Area non-profit, works to connect low-income communities to the produce available at local farmers’ markets. Since 2008, the organization has offered innovative nutrition and food access programs in four Bay Area counties - targeted towards low-income residents, leveraging cross-sector partnerships to improve local food systems and mitigate food insecurity.",Non-Profit,Prevention,,,,2008,www.freshapproach.org,,,,andyollove@freshapproach.org,,
"Freshlist, LLC",Charlotte,NC,USA,local,Freshlist is cultivating a better food system by connecting people with fresh food from local farms.,For Profit,Prevention,,,,2014,www.freshlist.com,,,,jesse@freshlist.com,,
Freshspire,Raleigh,NC,USA,local,"Freshspire's digital platform brings the food supply chain online - allowing buyers and suppliers to efficiently interface and exchange goods with the necessary information at their fingertips. Freshspire easily handles selling or donating foods of call categories (1st's, 2nd's, surplus) while providing data insights and analytics for future use. ",For Profit,Prevention,,,Coordination & Matching,2014,www.getfreshspired.com,,,,shraddha@getfreshspired.com,,
Helping Harvest,Reading,PA,USA,local,"The mission of Helping Harvest is to feed the hungry in Berks and Schuylkill counties, Pennsylvania.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1983,helpingharvest.org,,,,dlong@helpingharvet.org,,
Grey Bears,Santa Cruz,CA,USA,local,"Grey Bears improves the health and well-being of seniors and our community through food distribution, volunteerism, resource conservation and recycling.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation, Community composting",1973,https://www.greybears.org/,,,,tim@greybears.org,,
Harvest Against Hunger,Seattle,WA,USA,local,Harvest Against Hunger (HAH) seeks to combat hunger and food waste by using existing resources and systems to increase the amount of healthy produce available to local food bank clients. HAH develops innovative programs to engage thousands of growers across the state and in other areas of the country in supporting Washington’s hunger relief efforts. Our model builds farmer relationships to ensure their potential farm level food loss goes to feeding those who lack access to fresh produce. HAH partners with trucking companies to fill empty trucks and deliver produce from farms to food banks. And HAH supports food banks and pantries with AmeriCorps VISTA and other national service members who help them expand their limited resources to build program models to engage growers to redirect potential food waste to serve people in need in communities across several states.  HAH have also expanded our Farm to Food Pantry initiative and recently launched a King County Farmers Share program to help get more money into the hands of small farmers while significantly increasing the amount of fresh produce that goes to hunger relief.,Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1982,harvestagainsthunger.org,,,,david@harvestagainsthunger.org,,
Harvesters–The Community Food Network,Kansas City,MO,USA,local,"We are a regional food bank serving a 26-county area of northwestern Missouri and northeastern Kansas. Harvesters provides food and related household products to more than 760 nonprofit agencies including emergency food pantries, community kitchens, homeless shelters, children’s homes and others. We also offer education programs to increase community awareness of hunger and teach about good nutrition. 

Harvesters' main facility is located in Kansas City, Missouri at 3801 Topping Ave. Harvesters also operates a second facility in Topeka, Kansas at 215 E. Quincy St.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",,https://www.harvesters.org/,,,,rboram@harvesters.org,,
High Desert Second Chance,Hesperia,CA,USA,local,"Meeting the needs of our food insecure families and homeless in our community. Working to replenish one's home with necessary food to sustain them, ease their minds and souls to know that there is somewhere they can turn to if they are in need. ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",2014,http://highdesertsecondchance.pagecloud.com,,,,ckisis@hotmail.com,,
Hollywood Food Coalition,Los Angeles,CA,USA,local,"We have been serving those in need since 1987. The Hollywood Food Coalition provides a warm, nutritious meal along with access to basic daily needs, such as clothing, backpacks, sleeping bags, and hygiene items, as well as assistance with housing placement and referrals.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",,https://hofoco.org/,,,,development@hofoco.org,,
AGSHIFT,San Jose,CA,USA,local,"AgShift is the leading AI based industrial automation platform for food quality assessment - enabling better, faster and objective quality assessment at scale compared to current manual processes. - significantly reducing food waste resulting from inconsistencies in quality assessment across food supply chain. ",For Profit,Prevention,,,?,2015,WWW.AGSHIFT.COM,,,,MIKU@AGSHIFT.COM,,
Just Food of Douglas County,Lawrence,KS,USA,local,"Just Food is the food bank in Douglas County, supplying 29 partner agencies with pantry staples, proteins, bread, and fresh produce.  Just Food also specializes in direct client service through programs like Just Grow, Just Cook and Cooking Healthy Futures.  Just Food and its partners play a key role in fighting hunger in our community by increasing the availability of a variety of foods and helping to reduce waste and discarded food.",Non-Profit,Recovery,,,donation-storage-and-handling,2009,www.justfoodks.org,,,,ekeever@justfoodks.org,,
Kaizen Food Rescue,Denver,CO,USA,local,"Kaizen Food Rescue is an approach to creating continuous improvement surrounding food security in the Denver Metro area. We share cooperative goals and commitment with the local community, based on the idea that small ongoing positive changes can reap major improvements. We strive to increase healthy food equity, ultimately creating a less wasteful food system, and we celebrate all milestones along this journey. To combat this adversity, Kaizen Food Rescue aims to increase healthy food equity in the Denver Metro area with a direct food redistribution model- free grocery program.",Non-Profit,Recovery,,,donation-storage-and-handling,,https://www.kaizenfoodrescue.org/,,,,thai@kaizenfoodrescue.org,,
Kanbe's Markets,Kansas City,MO,USA,local,"Kanbe’s Markets provides consistent access to fresh, healthy and affordable foods in the areas of Kansas City designated by the USDA as “food deserts.”    Our goal is to eliminate food insecurity by providing an innovative food delivery system that is more inclusive, enhances small businesses, and improves communities one neighborhood at a time.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation, Community composting",2016,https://kanbesmarkets.org/,,,,mkan@kanbesmarkets.org,,
Kokua Harvest,Hilo,HI,USA,local,"Hawai'i is fortunate to have a year-round growing system and a long cultural tradition of sharing and growing food, but every year thousands of pounds of fresh fruit and vegetables go to waste on farms large and small and even in backyards as fruit trees go unharvested. Through the act of gleaning and sharing food, we connect and nourish our community to build stronger relationships and a deeper appreciation for our food.",Non-Profit,Recovery,,,Coordination & Matching,,,,,,kokuaharvest@gmail.com,,
Loaves & Fishes Family Kitchen,San Jose,CA,USA,local,"Our Mission:  The mission of Loaves & Fishes is to provide hot nutritious meals that are prepared, delivered and served to hungry and homeless families, children, seniors, veterans, students, and disabled individuals. All are welcome, no questions asked.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",1980,www.loavesfishes.org,,,,angela@loavesfishes.org,,
FreshStart,San Diego,CA,USA,local,"FreshStart is a company determined to end the gap between food waste and food insecurity. We are connecting food donors with food providers daily. When a business realizes it will have leftover fresh food, they initiate a food donation through our mobile application. We will transport the food to an organization that distributes the food to families in need. Food Banks, Food Pantries and Hunger Relief Organizations are examples of such organizations.",Non-Profit,Recovery,,,"Coordination & Matching, donation-transportation",,https://www.freshstartsd.com/about,,,,James.brown@freshstartsd.com,,
Manna - The Durango Soup Kitchen,Durango,CO,USA,local,"The mission of Manna is to provide, in spirit of faith and love, nourishing meals and supportive services in an atmosphere of acceptance and caring for those in need. ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",1986,MannaSoupKitchen.org,,,,director@mannasoupkitchen.com,,
Merced County Food Bank,Merced,CA,USA,local,"MCFB’s mission is to improve the health and well-being of Merced & Mariposa County residents affected by hunger; through the acquisition, storage, and distribution of nutritious food. The Merced County Food Bank (a member of the Feeding America Network), secures donations from food and grocery manufacturers, retailers, shippers, packers, growers, and from government agencies, individuals and other organizations. Donated food is stored at MCFB’s 30,000 square foot warehouse that has over 7,000 square feet of refrigerated and frozen storage.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",,https://mmcfb.org/,,,,jth@mmcfb.org,,
Mi Terro Global Inc.,City of Industry,CA,USA,local,"Mi Terro is the world's only biotechnology company that turns excess milk into soft, sustainable, and affordable fibers. Our fibers can apply to apparel, medical appliances, bed linen, and packaging film. Through our patent-pending technology, we created the world's first apparel line made from excess milk. We are also creating packaging film made from excess milk. We are replacing petroleum-based materials with protein-based materials made from food waste. We are redefining the circular economy in which everything begins with food waste and ends as recyclable or biodegradable.",For Profit,Recycling,,,industrial destinations,2018,www.miterro.com,,,,robert.luo@miterro.com,,
More Than Apples Inc,Escondido,CA,USA,local,"Every Thursday we collect food that is bound for landfill and redistribute it to families in North County San Diego.  Each week the box contents are unique, exciting and different.  We get a range of packaged goods, baked items, cold items and fresh produce.  All we ask for in return is a $30 donation to help us cover the costs of the food, gas and equipment hire so that we can continue to bring this food to our community.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",,https://www.morethanapples.org/blank-page,,,,info@morethanplles.org,,
Natural Upcycling,Linwood,NY,USA,local,Natural Upcycling is a leading food waste recycling business on the East Coast. We primarily collect food waste to be recycled into renewable energy through the process of anaerobic digestion.,For Profit,Recovery,,,centralized-anaerobic-digestion,2014,www.naturalupcycling.com,,,,chris@naturalupcycling.com,,
Northern Illinois Food Bank,Geneva,IL,USA,local,The mission of Northern Illinois Food Bank is to lead the northern Illinois community in solving hunger by providing nutritious meals to those in need through innovative programs and partnerships.,Non-Profit,Recovery,,,donation-storage-and-handling,1983,www.solvehungertoday.org,,,,hbury@northernilfoodbank.org,,
One Generation Away,Franklin,TN,USA,local,One Generation Away distributes healthy foods to families throughout Middle Tennessee that currently do not have access to food sources due to economic and physical barriers.,Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",2013,www.onegenaway.com,,,,camille@onegenaway.com,,
Waste Not OC Coalition,Santa Ana,CA,USA,local,"Waste Not OC Coalition works collaboratively with hospitals, food banks,municipalities, the food industry and the waste hauling industry to reduce hunger and food waste by safely and cost effectively recovering unwanted wholesome food for distribution to local pantries serving those in our community facing food insecurity.  ",Non-Profit,Recovery,,,coordination & matching,2012,https://www.wastenotoc.org/,,,,rotair@wastenotoc.org,,
Operation Food Search,St. Louis,MO,USA,local,Operation Food Search distributes more than 35 million dollars worth of food and necessities to 330 community partners in 31 Missouri and Illinois counties and in the city of St. Louis.,Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1981,https://www.operationfoodsearch.org/,,,,lucinda.perry@operationfoodsearch.org,,
OPERATION: Sack Lunch,Seattle,WA,USA,local,"OSL serves 7500 no-cost, nutritionally dense, culturally appropriate, meals, each day, to those struggling with greater Seattle area. We create these meals from the more than 2 million pounds of quality food we recover/rescue with our Food In Motion program, annually, before it lands in the waste stream. In April alone, we brought in 154,000 pounds and what we did not use we redistributed to more than 30 other meal providers, expanding our reach into the emergency food system. ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",1989,www.oslserves.org,,,,beverly@oslserves.org+E190,,
Ozarks Food Harvest,Springfield,MO,USA,local,"Ozarks Food Harvest is the Feeding America food bank for southwest Missouri, serving 270 hunger-relief organizations across 28 Ozarks counties. The Food Bank reaches nearly 30,000 individuals weekly and provides more than 18.5 million meals annually. In 2019, OFH received its eighth consecutive Four-Star Charity Navigator rating. The Food Bank has been named the Small Business of the Year by the Springfield Area Chamber of Commerce and the Nonprofit of the Year by the Springfield Business Journal. Its facility, the O’Reilly Center for Hunger Relief, has also received “superior” AIB International food safety certifications.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",1983,ozarksfoodharvest.org,,,,chanson@ozarksfoodharvest.org,,
Partnership for a Healthier America,Washington,DC,USA,National,"The Partnership for a Healthier America (PHA) is the premier nationwide nonprofit working to create lasting, systemic changes that transform the food landscape in pursuit of health equity. ",Non-Profit,Recovery,,,,2010,www.ahealthieramerica.org,,,,preichel@ahealthieramerica.org,,
PeriDeals,,CA,USA,local,Application-based platform where the user can access the best deals on perishables in their area.,For Profit,Prevention,,,,,,,,,peri.founder@perishabledeals.com,,
Phood Solutions Inc.,New York City,NY,USA,local,"Phood provides a solution to commercial food waste. Through its simple, easy-to-use software and hardware, businesses can save over $100,000 per year by reducing 50% of their food waste, as well as increase excess food donations by 35%. Phood puts data at your fingertips. Our straightforward, inexpensive waste calculation systems measure the exact food items wasted on a day-to-day basis, providing valuable insights about loss reasons and staff behavior. These metrics give you the power to alter wasteful food purchasing, ineffective food preparation and storage, and create a kitchen operating at max efficiency.",For Profit,Prevention,,,"Retail Surplus Tracking & Analytics, Restaurant & FS Surplus Tracking & Analytics",,https://www.phoodsolutions.com/,,,,max@phoodsolutions.com,,
Reaching-Out Community Services Inc,Brooklyn,NY,USA,local,Our Mission: Reaching-Out Community Services leads the effort to eliminate hunger in our  community and provide social services and programs that inspire self-reliance and community empowerment in a dignified manner.,Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1992,www.rcsprograms.org,,,,covid-19@rcsprograms.org,,
Redwood Empire Food Bank,Santa Rosa,CA,USA,local,"The mission of the Redwood Empire Food Bank is to end hunger in our community. We are the largest source of emergency food in our five-county region of north coastal California (covering Sonoma, Lake, Mendocino, Humboldt and Del Norte Counties).",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1987,https://refb.org/,,,,grants@refb.org,,
"Rescuing Leftover Cuisine, Inc.",,,USA,local,,Non-Profit,Recovery,,,"coordination & matching, donation-transportation",,https://www.rescuingleftovercuisine.org/,,,,robert@rescuingleftovercuisine.org,,
"Rethink Food, Inc.",Brookyln,NY,USA,local,"Rethink is a Brooklyn-based non-profit on a mission to use and reduce the 1.3 billion tons of food that is unused annually. By working with strategic partners in the NYC area, Rethink collects thousands of pounds of food monthly from restaurants and corporate kitchens, and, with it, creates new and nutritious meals. These meals feed over 10,000 New Yorkers a week via various distribution partners. ",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",2017,https://www.rethinkfood.nyc/,,,,kathleend@rethinkfood.nyc,,
Roberti Community House,Waukegan,IL,USA,local,"Since opening its doors in 2011, RCH has remained firmly committed to its mission: to nourish, educate and empower community members so that they can acknowledge, appreciate and actualize their individual strengths and talents.",Non-Profit,Recovery,,,donation-storage-and-handling,,,,,,roberticommunityhouse@gmail.com,,
Second Harvest Food Bank of Metrolina,Charlotte,NC,USA,local,"The mission of Second Harvest Food Bank of Metrolina (SHFBM) is twofold; first to feed hungry people by soliciting and distributing food and other household products through partner agencies; and second, to educate people in the community about the nature of and solutions to the problems of hunger.    SHFBM is the largest human services organization in the Charlotte Metro Region. We are the only food bank in the region with a system supplies purchased and donated food and household items to a network of over 800 nonprofit agencies in 14 counties in North Carolina and 10 counties in South Carolina. The partner agencies we work with, in turn, provide these products to individuals in need. Partner agencies include soup kitchens, homeless shelters, emergency food pantries, senior centers and low-income daycare centers. We serve our partner agencies through our warehouses in Charlotte (NC), Hickory (NC), Dallas (NC), Spartanburg (SC) and Williamston (SC). ",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",1981,www.secondharvestmetrolina.org,,,,droseborough@secondharvest.org,,
Second Harvest Heartland,Brooklyn Park,MN,USA,local,"The mission of Second Harvest Heartland is to end hunger together.  We are one of the nation’s largest food banks and hunger relief organizations, recognized for our leadership in developing groundbreaking food recovery initiatives and bringing them to scale.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",2001,www.2harvest.org,,,,dnelson@2harvest.org,,
Second Helpings Atlanta,Sandy Springs,GA,USA,local,"Second Helpings Atlanta is a nonprofit food rescue organization whose mission is to reduce hunger and food waste in the Metro Atlanta area by rescuing surplus food and distributing it to those in need.     With a community of over 400 volunteers, SHA serves as the link between our network of Food Donors and Partner Agencies who feed the hungry on a daily basis.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",2004,secondhelpingsatlanta.org,,,,andreajaron@secondhelpings.info,,
Seeds That Feed,,AK,USA,local,"Seeds That Feed works alongside farmers to move excess foods to accessible foods, making eating healthier a reality for thousands of our neighbors who are not always as fortunate. Through the collection and redistribution of surplus foods ? directly from regional farms and retailers to under resourced populations ? we are able to break down barriers to healthier eating, while we help to eliminate waste.",Non-Profit,Recovery,,,"donation-storage-and-handling, donation-transportation",,,,,,alymarsnyder@yahoo.com,,
Shameless Pets,Chicago,IL,USA,National,"Shameless Pets crafts healthy, ridiculously tasty dog treats with a twist – using upcycled ingredients!  Imagine empty lobster shells, a farmer’s pumpkin patch after Halloween or apple pulp from a cider press. Every bag is full of all-natural treats, bursting with superfoods, that are nutritious and fun to eat.  Our pets aren't just pets, so our treats aren't just treats. ",For Profit,Recycling,,,livestock feed,2017,www.shamelesspets.com,,,,alex@shamelesspets.com,,
South County Outreach,Irvine,CA,USA,local,"For more than 30 years, South County Outreach has been a leader in the fight against hunger and homelessness. Annually, we distribute 20,000 lbs of food each month to local residents in need and provide over 20,000 nights of housing to homeless families.",Non-Profit,Recovery,,,donation-storage-and-handling,,,,,,grantmgr@sco-oc.org,,
Southern Solidarity,New Orleans,LA,USA,local,"Southern Solidarity is a grassroots, community-based group of volunteers in solidarity with the unhoused in their quest toward liberation. We organize the delivery of food, medical resources and basic needs directly to the unhoused in the downtown area of New Orleans because the government has not filled this need. We are influenced by anti-imperialist principles and mobilized by a black queer woman.

As a group of 30, we organize the daily delivery of food, medical resources, and other basic needs directly to hundreds of unhoused people in the downtown area of New Orleans because the government has failed to meet needs. Southern Solidarity is involved in both direct relief and consciousness raising efforts of members and recipients in our collective struggle for liberation. Some among us are undocumented, formerly incarcerated, unhoused, trans, activists but more importantly, all among us are anti-imperialist.",Non-Profit,Recovery,,,donation-transportation,,https://southernsolidarity.org/,,,,southernsolidaritynola@gmail.com,,
St. Francis Center,Los Angeles,CA,USA,local,"St. Francis Center’s mission is to feed, serve, and walk with the poor as a community of hope. Much more than a soup kitchen or a food pantry, we offer a unique range of services to sustain and empower those in need and engaging volunteer opportunities Los Angeles. Welcoming all with joy, dignity and compassion, we dedicate ourselves every day to Serving Hope in our community.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing",1972,www.sfcla.org,,,,marianne@sfcla.org,,
St. Louis Composting,Valley Park,MO,USA,local,"At St. Louis Composting, we are Mother Nature’s helpers – transitioning yard trimmings from waste bin to garden in only six months.  ",For Profit,Recycling,,,centralized composting,1992,www.stlcompost.com,,,,rgreathouse@stlcompost.com,,
Starling Systems Inc.,Charlottesville,VA,USA,local,"Starling Systems, Inc. (SSI) is led by proven technologists with deep experience in the food supply chain and with a visceral understanding of the challenges of moving highly perishable products.",For Profit,Prevention,,,coordination & matching,2018,www.starlingrealtime.com,,,,craig@starlingrealtime.com,,
Strella Biotechnology,Philadelphia,PA,USA,local,"Strella predicts the ripeness of produce, allowing players within the supply chain reduce waste and increase produce quality",For Profit,Prevention,,,"?, reduced handling",2018,www.strellabiotech.com,,,,katya@strellabiotech.com,,
"SwineTech, Inc.",Solon,IA,USA,local,"SwineTech® strives to be the eyes and ears for pork producers, enabling them to offer an exceptional quality of life for the pigs in their care. We accomplish this by crafting novel technologies that minimize labor, energy use, and sow and piglet mortalities. This allows for the reduction in food waste and and enables pork producers to feed the world.",For Profit,Prevention,,,"reduced handling, manufacturing line optimization",2015,https://swinetechnologies.com/,,,,mrooda@swinetechnologies.com,,
The Berkeley Food Network,Berkeley,CA,USA,local,"Our goal is to create a Berkeley where no one goes hungry. Using an innovative, community-centered approach to food sourcing and distribution, we are providing easy and convenient access to healthy, high-quality free food for people who need it.",Non-Profit,Recovery,,,"donation-storage-and-handling, value-added processing, donation-transportation",2016,www.berkeleyfoodnetwork.org,,,,sara@berkeleyfoodnetwork.org,,
The Bulb Gallery,Concord,NC,USA,local,"The Bulb has partnered with small and large farms, backyard gardeners, chefs, credit unions, artists, and other non-profits to create a mobile resource market . This model allows for zero to low-income households to live in a more sustainable way by gaining health and wellness from their own doorstep.  Markets are referral or donation based.  Neighbors choose how much they can afford per item. If proof of zero income or 50% of the area median income is provided, items and services are for free.",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",,,,,,apruett@thebulbgallery.org,,
The Council of Churches of Greater Bridgeport,Bridgeport,CT,USA,local,"The Center for Food Equity and Economic Development, a program of The Council of Churches of Greater Bridgeport, builds community wealth through food-based initiatives that leverage recovered food in order to offer living wage employment and entrepreneurial opportunities to residents.",Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",1945,www.feedbridgeport.ccgb.org,,,,michellemccabe@ccgb.org,,
The Foodbank,Dayton,OH,USA,local,The Foodbank relieves hunger in the community through a network of partner agencies by acquiring and distributing food.,Non-Profit,Recovery,,,"donation-storage-and-capacity, donation-transportation",1976,thefoodbankinc.org,,,,egallion@thefoodbankdayton.org,,
The Green Urban Lunch Box,South Salt Lake City,UT,USA,local,"Working in the middle of Salt Lake City’s urban landscape, we are challenging ourselves and our city to look at natural resources, food systems, and community involvement in innovative ways. We see immense value in fostering a community-centered, collaborative approach to improving food security, revitalizing urban spaces, localizing the food culture, and growing an urban farming community centered on equity, resilience, and sustainability. FruitShare program allows for home owners with fruit tress inviting volunteers to help pick all their fruit - the owner keeps some fruit, the volunteer gets some fruit, and the rest (that would have been wasted or rotted on the ground) gets donated.",Non-Profit,Recovery,,,"coordination-&-matching, donation-storage-and-capacity",,https://thegreenurbanlunchbox.com/,,,,development@gulb.org,,
The Reno-Sparks Gospel Mission,Reno,NV,USA,local,"The Reno-Sparks Gospel Mission (RSGM) has been a community cornerstone for more than 55 years. The goal of our food operations is to reduce food insecurity and increase food knowledge by providing high quality, nutritious food to low- income, at risk adults, children and seniors. Our mission is to eliminate hunger while reducing food waste with a program that provides food, promotes the value of nutrition and increases self-sufficiency and instills hope. ",Non-Profit,Recovery,,,donation-storage-and-capacity,1963,www.rsgm.org,,,,marie@rsgm.org,,
The Society of St. Andrew,Big Island,VA,USA,National,"The Society of St. Andrew brings people together to harvest and share healthy food, reduce food waste, and build caring communities by offering nourishment to hungry neighbors.",Non-Profit,Recovery,,,donation-storage-and-capacity,1979,www.endhunger.org,,,,partnership@endhunger.org,,
